School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Network,NWEA: % Above Nat'l Avg Score - All Grades - Reading,NWEA: % Above Nat'l Avg Score - All Grades - Math,NWEA: % Above Nat'l Avg Growth - All Grades - Reading,NWEA: % Above Nat'l Avg Growth - All Grades - Math,ISAT: % Meets/Exceeds - 3rd Grade - Reading,ISAT: % Meets/Exceeds - 5th Grade - Reading/Math Composite,Bilingual %,SpED %,"Free/Reduced
 Lunch %",White %,African American %,Hispanic %,CPS Performance Policy Level,CPS Performance Policy Status,"My Voice, My School Overall Rating",Involved Family,Effective Leaders,Safe,Quality of Facilities,NWEA Reading Growth Percentile All Grades,NWEA Math Growth Percentile All Grades,NWEA Reading Attainment Percentile All Grades,NWEA Math Attainment Percentile All Grades,Suspensions Per 100 students 2013,Percentage Misconducts Resulting in Suspension 2013,Average Length of Suspensions 2013,Student Attendance Percentage 2013,One-Year Drop Out Rate Percentage 2013,Community School
609792,Newton Bateman Elementary School,4220 N Richmond St,Chicago,IL,60618,(773) 534-5055,Network 1,56%,44%,68%,71%,50%,46%,36.00%,11.60%,91.90%,9%,3%,80%,LEVEL 1,NOT ON PROBATION,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,91,84,65,46,0.6,10.50%,3.7,94.60%,,No
609793,Nicholson Technology Academy,6006 S Peoria St,Chicago,IL,60621,(773) 535-3285,Network 11,30%,41%,47%,64%,68%,51%,0.00%,9.80%,96.80%,0%,98%,1%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,NEUTRAL,STRONG,NEUTRAL,STRONG,0,39,10,37,25.5,89.40%,2.9,92.90%,,No
609794,Thomas A Edison Regional Gifted Center ES,4929 N Sawyer Ave,Chicago,IL,60625,(773) 534-0540,Network 1,100%,96%,58%,75%,100%,98%,0.70%,5.80%,10.10%,52%,4%,15%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,VERY STRONG,NOT ENOUGH DATA,99,99,99,99,0.4,,,96.30%,,No
609795,George Rogers Clark Elementary School,1045 S Monitor Ave,Chicago,IL,60644,(773) 534-6225,Network 3,60%,69%,72%,84%,70%,68%,12.50%,14.70%,94.60%,2%,61%,33%,LEVEL 1,NOT ON PROBATION,ORGANIZED,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,99,99,75,86,10,35.40%,1.7,95.30%,,No
609796,Jean Baptiste Beaubien Elementary School,5025 N Laramie Ave,Chicago,IL,60630,(773) 534-3500,Network 1,74%,71%,66%,79%,74%,72%,15.40%,8.10%,53.90%,38%,2%,39%,LEVEL 1,NOT ON PROBATION,ORGANIZED,STRONG,VERY STRONG,STRONG,NOT ENOUGH DATA,99,99,97,97,5.6,69.10%,1.8,94.80%,,No
609797,Jacob Beidler Elementary School,3151 W Walnut St,Chicago,IL,60612,(773) 534-6811,OS4,40%,54%,74%,89%,34%,54%,0.20%,12.50%,99.40%,0%,98%,2%,LEVEL 2,NOT ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,STRONG,99,99,19,56,37.1,88.40%,2.1,93.50%,,No
609798,Hiram H Belding Elementary School,4257 N Tripp Ave,Chicago,IL,60641,(773) 534-3590,Network 1,61%,59%,64%,73%,70%,56%,23.10%,9.70%,71.90%,34%,7%,49%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,79,91,76,73,9.5,80.50%,1.4,94.50%,,No
609799,Alexander Graham Bell Elementary School,3730 N Oakley Ave,Chicago,IL,60618,(773) 534-5150,Network 4,84%,80%,55%,66%,87%,79%,4.10%,11.10%,15.10%,61%,2%,22%,LEVEL 1,NOT ON PROBATION,ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,93,93,99,99,1.3,3.80%,1.5,95.50%,,No
609800,Frank I Bennett Elementary School,10115 S Prairie Ave,Chicago,IL,60628,(773) 535-5460,Network 13,29%,17%,53%,49%,29%,38%,0.00%,10.50%,95.70%,0%,97%,2%,LEVEL 3,ON PROBATION,PARTIALLY ORGANIZED,WEAK,WEAK,WEAK,NOT ENOUGH DATA,3,1,8,3,36.3,29.20%,1.9,92.20%,,No
609803,James G Blaine Elementary School,1420 W Grace St,Chicago,IL,60613,(773) 534-5750,Network 4,82%,85%,67%,79%,94%,88%,5.60%,8.50%,15.00%,60%,5%,26%,LEVEL 1,NOT ON PROBATION,ORGANIZED,STRONG,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,99,99,98,99,2,63.30%,2,95.80%,,No
609804,Daniel Boone Elementary School,6710 N Washtenaw Ave,Chicago,IL,60645,(773) 534-2160,Network 2,47%,49%,58%,73%,58%,49%,38.90%,10.60%,91.90%,22%,10%,45%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,NEUTRAL,NEUTRAL,38,93,40,48,3.8,29.60%,1.8,95.10%,,No
609805,Scott Joplin Elementary School,7931 S Honore St,Chicago,IL,60620,(773) 535-3425,OS4,30%,33%,67%,71%,20%,54%,0.20%,14.00%,97.10%,0%,98%,1%,LEVEL 3,ON PROBATION,PARTIALLY ORGANIZED,WEAK,NEUTRAL,VERY WEAK,NEUTRAL,62,81,8,11,36,60.70%,2,93.30%,,No
609806,Myra Bradwell Communications Arts & Sciences ES,7736 S Burnham Ave,Chicago,IL,60649,(773) 535-6600,AUSL,25%,24%,62%,67%,22%,25%,0.20%,13.30%,89.10%,1%,98%,1%,LEVEL 3,ON PROBATION,PARTIALLY ORGANIZED,VERY WEAK,NEUTRAL,WEAK,STRONG,7,59,2,6,130.9,94.80%,1.8,93.90%,,No
609807,Lionel Hampton Fine & Performing Arts ES,3434 W 77th St,Chicago,IL,60652,(773) 535-4030,Network 10,30%,19%,55%,63%,35%,36%,22.00%,14.00%,95.10%,0%,50%,46%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,WEAK,VERY WEAK,NOT ENOUGH DATA,10,24,11,6,21.6,21.40%,1.9,94.10%,,Yes
609808,Alex Haley Elementary Academy,11411 S Eggleston Ave,Chicago,IL,60628,(773) 535-5340,Network 13,18%,16%,52%,62%,21%,31%,0.60%,10.60%,98.20%,0%,97%,2%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,NEUTRAL,WEAK,NOT ENOUGH DATA,1,29,1,1,10,52.60%,2.8,95%,,No
609809,Lorenz Brentano Math & Science Academy ES,2723 N Fairfield Ave,Chicago,IL,60647,(773) 534-4100,OS4,52%,53%,79%,81%,49%,64%,37.70%,15.10%,89.80%,5%,4%,86%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,99,99,45,54,2.6,73.30%,2.3,95.50%,,No
609810,Norman A Bridge Elementary School,3800 N New England Ave,Chicago,IL,60634,(773) 534-3718,Network 1,52%,61%,71%,80%,66%,58%,29.10%,10.80%,74.50%,51%,1%,44%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,STRONG,NOT ENOUGH DATA,97,99,59,77,3.1,33.70%,1.3,95.10%,,No
609811,Orville T Bright Elementary School,10740 S Calhoun Ave,Chicago,IL,60617,(773) 535-6215,Network 13,30%,30%,59%,65%,32%,16%,9.30%,28.30%,99.30%,0%,69%,31%,LEVEL 3,ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,27,63,8,13,53.5,68.40%,2.5,91%,,No
609812,William H Brown Elementary School,54 N Hermitage Ave,Chicago,IL,60612,(773) 534-7250,OS4,24%,22%,61%,57%,53%,21%,0.00%,24.10%,98.20%,0%,96%,2%,LEVEL 3,ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,STRONG,NOT ENOUGH DATA,24,8,3,7,22.3,42.90%,1.9,92.10%,,No
609813,Charles S Brownell Elementary School,6741 S Michigan Ave,Chicago,IL,60637,(773) 535-3030,Network 12,32%,27%,65%,69%,45%,29%,0.00%,8.00%,99.60%,0%,100%,0%,LEVEL 2,NOT ON PROBATION,NOT YET ORGANIZED,WEAK,WEAK,VERY WEAK,STRONG,29,65,8,8,21.8,78.50%,2.2,94.20%,,No
609815,Edward A Bouchet Math & Science Academy ES,7355 S Jeffery Blvd,Chicago,IL,60649,(773) 535-0501,Network 12,31%,24%,60%,72%,36%,25%,1.50%,13.30%,99.40%,0%,99%,0%,LEVEL 2,ON PROBATION,WELL-ORGANIZED,VERY STRONG,VERY STRONG,STRONG,STRONG,23,92,7,7,13,62.50%,2.2,92.90%,,No
609817,Lyman A Budlong Elementary School,2701 W Foster Ave,Chicago,IL,60625,(773) 534-2591,Network 2,62%,55%,64%,78%,54%,65%,44.50%,7.20%,86.30%,25%,6%,45%,LEVEL 1,NOT ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,90,99,76,74,1.7,77.80%,1.8,94.80%,,No
609818,Luther Burbank Elementary School,2035 N Mobile Ave,Chicago,IL,60639,(773) 534-3000,Network 3,34%,27%,62%,70%,45%,55%,43.70%,12.10%,97.00%,2%,5%,92%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,VERY STRONG,STRONG,STRONG,44,80,17,14,3.9,49.40%,2.5,93.90%,,No
609819,Edmond Burke Elementary School,5356 S King Dr,Chicago,IL,60615,(773) 535-1325,OS4,25%,14%,77%,73%,12%,38%,0.00%,9.50%,96.20%,0%,99%,1%,LEVEL 3,ON PROBATION,ORGANIZED,NEUTRAL,STRONG,WEAK,VERY WEAK,99,95,2,3,12.4,45.10%,4.2,88.10%,,No
609820,Augustus H Burley Elementary School,1630 W Barry Ave,Chicago,IL,60657,(773) 534-5475,Network 4,73%,73%,54%,70%,79%,82%,4.70%,14.40%,20.70%,56%,3%,28%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,85,94,95,93,2.8,57.10%,1.6,95.80%,,No
609821,Burnham Elementary Inclusive Academy,9928 S Crandon Ave,Chicago,IL,60617,(773) 535-6530,Network 13,52%,44%,54%,77%,62%,59%,1.50%,9.60%,93.80%,0%,98%,2%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,NEUTRAL,NEUTRAL,66,98,57,46,23.4,71.80%,1.3,94.80%,,No
609826,Rosario Castellanos Elementary School,2524 S Central Park Ave,Chicago,IL,60623,(773) 534-1620,Network 7,41%,35%,75%,68%,-,39%,22.90%,13.70%,99.00%,0%,5%,95%,LEVEL 2,NOT ON PROBATION,NOT YET ORGANIZED,WEAK,VERY WEAK,NEUTRAL,WEAK,97,79,29,25,3,61.50%,2.3,95.70%,,No
609827,Burnside Elementary Scholastic Academy,650 E 91st Pl,Chicago,IL,60619,(773) 535-3300,Network 12,43%,31%,58%,59%,46%,43%,0.30%,12.10%,85.40%,0%,98%,2%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,WEAK,WEAK,NOT ENOUGH DATA,43,18,35,17,6.5,65.30%,2.5,93.80%,,No
609828,Jonathan Burr Elementary School,1621 W Wabansia Ave,Chicago,IL,60622,(773) 534-4090,Network 6,53%,43%,71%,73%,48%,67%,5.20%,9.00%,43.80%,37%,9%,49%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,VERY STRONG,NOT ENOUGH DATA,88,86,64,48,0.9,,,95.90%,,No
609829,John C Burroughs Elementary School,3542 S Washtenaw Ave,Chicago,IL,60632,(773) 535-7226,Network 8,58%,65%,67%,75%,55%,57%,34.70%,9.80%,95.80%,4%,1%,95%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,89,99,68,86,0.6,,,94.50%,,No
609830,Milton Brunson Math & Science Specialty ES,932 N Central Ave,Chicago,IL,60651,(773) 534-6025,Network 3,18%,16%,55%,62%,28%,26%,2.00%,11.20%,99.10%,0%,95%,4%,LEVEL 3,ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,WEAK,VERY STRONG,14,54,1,1,4.7,60.40%,2.7,91.50%,,No
609832,Michael M Byrne Elementary School,5329 S Oak Park Ave,Chicago,IL,60638,(773) 535-2170,Network 10,52%,43%,54%,63%,57%,68%,7.60%,13.40%,59.00%,40%,1%,58%,LEVEL 2,NOT ON PROBATION,PARTIALLY ORGANIZED,STRONG,WEAK,NEUTRAL,NOT ENOUGH DATA,22,55,50,48,4.2,16.70%,2,94.40%,,No
609833,Charles P Caldwell Academy of Math & Science ES,8546 S Cregier,Chicago,IL,60617,(773) 535-6300,Network 12,24%,17%,52%,55%,58%,42%,0.00%,13.40%,96.50%,0%,98%,1%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,WEAK,WEAK,WEAK,0,6,3,2,27.7,80.30%,2.7,90.70%,,No
609834,Little Village Elementary School,2620 S Lawndale Ave,Chicago,IL,60623,(773) 534-1880,Network 7,34%,29%,55%,67%,26%,30%,52.60%,8.80%,98.50%,0%,0%,100%,LEVEL 2,NOT ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,17,55,22,18,2.2,100%,2.8,95.80%,,No
609835,Daniel R Cameron Elementary School,1234 N Monticello Ave,Chicago,IL,60651,(773) 534-4290,Network 5,37%,42%,77%,82%,46%,40%,25.20%,10.60%,99.10%,1%,36%,63%,LEVEL 2,NOT ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,99,99,21,37,28,74.70%,2.5,94.10%,,No
609836,Arthur E Canty Elementary School,3740 N Panama Ave,Chicago,IL,60634,(773) 534-1238,Network 1,68%,73%,71%,79%,76%,76%,12.80%,10.50%,47.70%,54%,1%,37%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,NEUTRAL,STRONG,NOT ENOUGH DATA,99,99,85,93,0.3,,,95.30%,,No
609837,Andrew Carnegie Elementary School,1414 E 61st Pl,Chicago,IL,60637,(773) 535-0530,OS4,42%,38%,54%,65%,68%,49%,0.10%,6.30%,85.10%,1%,98%,1%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,NEUTRAL,WEAK,WEAK,16,49,35,28,11.3,70.60%,3.8,94.50%,,No
609839,Carroll-Rosenwald Specialty Elementary School,2929 W 83rd St,Chicago,IL,60652,(773) 535-9414,Network 10,27%,29%,49%,59%,60%,44%,0.20%,14.30%,90.40%,0%,96%,3%,LEVEL 2,NOT ON PROBATION,ORGANIZED,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,1,25,9,13,10.4,43.60%,1.9,95.50%,,Yes
609842,Rachel Carson Elementary School,5516 S Maplewood Ave,Chicago,IL,60629,(773) 535-9222,Network 8,41%,46%,67%,70%,33%,37%,50.70%,7.20%,98.40%,0%,3%,96%,LEVEL 2,NOT ON PROBATION,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,81,79,34,49,1.1,3.50%,3,96.90%,,No
609844,William W Carter Elementary School,5740 S Michigan Ave,Chicago,IL,60637,(773) 535-0860,AUSL,22%,13%,51%,50%,34%,9%,0.00%,9.30%,89.30%,0%,98%,2%,LEVEL 3,ON PROBATION,ORGANIZED,STRONG,STRONG,WEAK,NOT ENOUGH DATA,1,0,2,1,25.4,97.80%,2.3,88.30%,,No
609845,George Washington Carver Primary School,901 E 133rd Pl,Chicago,IL,60827,(773) 535-5674,OS4,27%,21%,71%,65%,32%,31%,0.00%,10.30%,99.60%,1%,98%,1%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,NEUTRAL,WEAK,STRONG,91,25,3,3,10.9,23.80%,3.2,90.50%,,No
609848,Ira F Aldridge Elementary School,630 E 131st St,Chicago,IL,60827,(773) 535-5614,OS4,18%,10%,33%,37%,28%,21%,0.00%,7.10%,99.20%,0%,100%,0%,LEVEL 3,ON PROBATION,PARTIALLY ORGANIZED,WEAK,NEUTRAL,WEAK,NEUTRAL,0,0,2,0,9.3,96%,3.1,93.30%,,No
609849,George F Cassell Elementary School,11314 S Spaulding Ave,Chicago,IL,60655,(773) 535-2640,Network 10,69%,56%,75%,68%,70%,69%,3.80%,18.50%,25.60%,77%,9%,11%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,99,82,80,68,8,90.30%,1.5,94.20%,,No
609850,Horace Greeley Elementary School,832 W Sheridan Rd,Chicago,IL,60613,(773) 534-5800,Network 4,55%,62%,61%,85%,68%,72%,22.90%,11.00%,85.90%,11%,14%,71%,LEVEL 1,NOT ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,STRONG,71,99,60,81,0.8,17.90%,2,95.60%,,No
609851,Thomas Chalmers Specialty Elementary School,2745 W Roosevelt Rd,Chicago,IL,60608,(773) 534-1720,AUSL,21%,20%,55%,64%,34%,20%,0.00%,14.50%,98.80%,0%,95%,4%,LEVEL 2,ON PROBATION,WELL-ORGANIZED,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,1,17,1,3,4,83.30%,4.3,95.40%,,No
609852,Eliza Chappell Elementary School,2135 W Foster Ave,Chicago,IL,60625,(773) 534-2390,Network 2,59%,59%,60%,67%,49%,71%,35.90%,20.70%,80.60%,13%,5%,62%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,STRONG,NOT ENOUGH DATA,48,83,70,79,6.6,84.20%,2.4,94.80%,,No
609853,Salmon P Chase Elementary School,2021 N Point St,Chicago,IL,60647,(773) 534-4185,Network 4,46%,53%,74%,83%,28%,55%,42.60%,18.10%,97.00%,3%,2%,94%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,95,99,38,62,6.2,66.70%,1.9,94.80%,,No
609854,Frederic Chopin Elementary School,2450 W Rice St,Chicago,IL,60622,(773) 534-4080,Network 5,43%,48%,64%,86%,95%,66%,21.20%,19.70%,94.60%,6%,20%,70%,LEVEL 2,NOT ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,STRONG,STRONG,96,99,29,56,0.7,20%,4,94%,,No
609855,Walter S Christopher Elementary School,5042 S Artesian Ave,Chicago,IL,60632,(773) 535-9375,Network 8,48%,36%,55%,62%,27%,35%,40.80%,60.60%,92.80%,6%,26%,67%,,,NOT YET ORGANIZED,WEAK,VERY WEAK,STRONG,NOT ENOUGH DATA,29,50,34,31,3,27.30%,2.4,82.60%,,Yes
609856,Henry Clay Elementary School,13231 S Burley Ave,Chicago,IL,60633,(773) 535-5600,Network 13,38%,45%,71%,83%,30%,35%,29.40%,10.20%,95.40%,11%,8%,77%,LEVEL 3,ON PROBATION,ORGANIZED,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NOT ENOUGH DATA,94,99,23,40,0.2,,,95%,,No
609857,Grover Cleveland Elementary School,3121 W Byron St,Chicago,IL,60618,(773) 534-5130,Network 1,46%,51%,58%,71%,47%,51%,37.70%,17.90%,90.00%,6%,4%,81%,LEVEL 2,NOT ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,46,94,48,67,4.2,68.20%,1.8,94.60%,,No
609859,DeWitt Clinton Elementary School,6110 N Fairfield Ave,Chicago,IL,60659,(773) 534-2025,Network 2,49%,58%,66%,80%,47%,53%,43.00%,6.50%,90.80%,16%,12%,31%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,83,99,41,81,2.1,28.60%,1.4,95.50%,,No
609861,Henry R Clissold Elementary School,2350 W 110th Pl,Chicago,IL,60643,(773) 535-2560,Network 10,58%,56%,67%,70%,60%,64%,0.90%,14.50%,42.00%,30%,63%,5%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,88,83,73,66,1.3,29.20%,1.9,95%,,No
609862,Edward Coles Elementary Language Academy,8441 S Yates Blvd,Chicago,IL,60617,(773) 535-6550,Network 12,33%,58%,63%,75%,59%,52%,0.20%,9.50%,84.10%,0%,97%,2%,LEVEL 2,NOT ON PROBATION,NOT YET ORGANIZED,NEUTRAL,WEAK,WEAK,WEAK,44,99,16,70,30.1,65.20%,2.7,93%,,No
609863,Christopher Columbus Elementary School,1003 N Leavitt St,Chicago,IL,60622,(773) 534-4350,Network 5,47%,56%,68%,76%,43%,64%,25.50%,5.10%,75.90%,55%,5%,36%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,WEAK,STRONG,NEUTRAL,85,99,55,76,4.1,36.40%,1.6,94.60%,,No
609864,John W Cook Elementary School,8150 S Bishop St,Chicago,IL,60620,(773) 535-3315,Network 11,29%,30%,71%,80%,24%,24%,0.00%,16.20%,99.50%,0%,97%,1%,LEVEL 2,NOT ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,61,99,8,16,27.2,63.10%,2.6,92.70%,,No
609865,Jordan Elementary Community School,7414 N Wolcott Ave,Chicago,IL,60626,(773) 534-2220,Network 2,26%,35%,46%,62%,35%,36%,38.10%,12.50%,98.00%,2%,37%,57%,LEVEL 2,NOT ON PROBATION,NOT YET ORGANIZED,WEAK,NEUTRAL,NEUTRAL,STRONG,1,31,10,16,10,43.20%,2.2,94.70%,,No
609866,John C Coonley Elementary School,4046 N Leavitt St,Chicago,IL,60618,(773) 534-5140,Network 2,77%,77%,58%,68%,90%,87%,9.40%,13.80%,29.20%,58%,1%,30%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,92,96,99,99,0.3,20%,1,95.60%,,No
609867,Peter Cooper Elementary Dual Language Academy,1624 W 19th St,Chicago,IL,60608,(773) 534-7205,Network 7,34%,43%,65%,63%,25%,39%,61.90%,14.60%,97.80%,1%,2%,96%,LEVEL 2,NOT ON PROBATION,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,46,37,25,42,1.1,,,95.50%,,No
609869,Anna R. Langford Community Academy,6010 S Throop St,Chicago,IL,60636,(773) 535-9180,Network 11,22%,17%,71%,58%,19%,50%,0.00%,9.70%,99.30%,0%,100%,1%,LEVEL 3,ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,VERY WEAK,NEUTRAL,53,4,1,2,10.1,64.20%,2.4,91.10%,,No
609870,Daniel J Corkery Elementary School,2510 S Kildare Ave,Chicago,IL,60623,(773) 534-1650,Network 7,34%,37%,63%,74%,32%,46%,40.40%,11.00%,96.70%,1%,18%,80%,LEVEL 3,ON PROBATION,ORGANIZED,NEUTRAL,STRONG,NEUTRAL,WEAK,56,91,19,31,11.9,60.70%,1.5,94.40%,,No
609871,Barbara Vick Early Childhood & Family Center,2554 W 113th St,Chicago,IL,60655,(773) 535-2671,Network 10,-,-,-,-,-,-,27.00%,36.50%,50.30%,42%,14%,39%,,,WELL-ORGANIZED,VERY STRONG,STRONG,NOT ENOUGH DATA,STRONG,,,,,,,,87.90%,,No
609872,Manuel Perez Elementary School,1241 W 19th St,Chicago,IL,60608,(773) 534-7650,Network 7,55%,55%,79%,94%,47%,46%,40.10%,10.60%,100.00%,0%,1%,98%,LEVEL 1,NOT ON PROBATION,ORGANIZED,NEUTRAL,STRONG,NEUTRAL,STRONG,99,99,63,65,3,55%,3.7,95.70%,,No
609873,Crown Community Academy of Fine Arts Center ES,2128 S Saint Louis Ave,Chicago,IL,60623,(773) 534-1680,OS4,26%,30%,70%,80%,33%,32%,1.10%,14.00%,96.60%,0%,96%,4%,LEVEL 3,ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,WEAK,STRONG,90,97,6,14,37.4,32.30%,2.1,92%,,No
609874,Everett McKinley Dirksen Elementary School,8601 W Foster Ave,Chicago,IL,60656,(773) 534-1090,Network 1,54%,61%,65%,64%,66%,60%,43.60%,11.60%,76.20%,65%,3%,12%,LEVEL 1,NOT ON PROBATION,PARTIALLY ORGANIZED,WEAK,STRONG,NEUTRAL,NOT ENOUGH DATA,95,82,66,81,4,28.20%,1.9,95.40%,,No
609875,Charles R Darwin Elementary School,3116 W Belden Ave,Chicago,IL,60647,(773) 534-4110,Network 4,45%,41%,68%,72%,38%,65%,39.60%,15.20%,92.20%,4%,11%,78%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,VERY STRONG,97,99,45,48,6.4,53.50%,2,94.40%,,No
609876,Nathan S Davis Elementary School,3014 W 39th Pl,Chicago,IL,60632,(773) 535-4540,Network 8,34%,32%,57%,61%,23%,25%,53.40%,8.50%,99.00%,2%,1%,96%,LEVEL 3,ON PROBATION,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,24,35,18,19,2.4,28%,3.7,94.70%,,No
609879,Charles Gates Dawes Elementary School,3810 W 81st Pl,Chicago,IL,60652,(773) 535-2350,Network 10,49%,49%,68%,76%,45%,32%,18.60%,13.10%,96.70%,1%,20%,77%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,VERY STRONG,NOT ENOUGH DATA,88,98,51,57,7,84.90%,2.8,95.70%,,Yes
609880,Stephen Decatur Classical Elementary School,7030 N Sacramento Ave,Chicago,IL,60645,(773) 534-2201,Network 2,99%,96%,47%,60%,100%,98%,0.00%,6.60%,11.20%,42%,6%,14%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,STRONG,VERY STRONG,WEAK,99,93,99,99,,,,95.70%,,No
609883,Charles S Deneen Elementary School,7240 S Wabash Ave,Chicago,IL,60619,(773) 535-3035,AUSL,35%,31%,73%,83%,29%,33%,0.20%,15.20%,99.00%,1%,98%,1%,LEVEL 2,ON PROBATION,PARTIALLY ORGANIZED,WEAK,VERY WEAK,NEUTRAL,NOT ENOUGH DATA,93,99,10,17,8.8,100%,2.4,95.40%,,No
609884,William E Dever Elementary School,3436 N Osceola Ave,Chicago,IL,60634,(773) 534-3090,Network 1,58%,70%,70%,78%,55%,62%,26.10%,12.80%,62.80%,48%,2%,44%,LEVEL 1,NOT ON PROBATION,ORGANIZED,STRONG,NEUTRAL,STRONG,NOT ENOUGH DATA,95,99,70,90,3.3,31.80%,1.5,95%,,No
609885,Dewey Elementary Academy of Fine Arts,5415 S Union Ave,Chicago,IL,60609,(773) 535-1666,AUSL,11%,9%,57%,66%,19%,8%,0.80%,12.50%,99.20%,0%,96%,3%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,VERY WEAK,WEAK,VERY STRONG,1,13,0,0,53.9,85.30%,2.5,90%,,No
609887,Arthur Dixon Elementary School,8306 S Saint Lawrence Ave,Chicago,IL,60619,(773) 535-3834,Network 12,51%,50%,63%,73%,52%,54%,0.20%,9.50%,88.20%,0%,99%,1%,LEVEL 1,NOT ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,82,94,51,56,29.6,71.80%,3.2,94.60%,,No
609888,Mary Mapes Dodge Elementary Renaissance Academy,431 N Troy St,Chicago,IL,60612,(773) 534-6640,AUSL,41%,44%,65%,67%,33%,52%,0.00%,9.30%,92.30%,0%,99%,1%,LEVEL 3,ON PROBATION,PARTIALLY ORGANIZED,WEAK,WEAK,NEUTRAL,STRONG,86,87,28,40,18.9,96.40%,2.3,93%,,No
